fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,guess,
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.163689877,0.026794376
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.271273761,0.073589453
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.343288753,0.117847168
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.848965966,0.022811279
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.163689877,0.026794376
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.196409774,0.038576799
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.241101964,0.058130157
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.473907768,2.328957499
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.470098901,2.340597374
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.78988388,0.623916544
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.187951387,0.035325724
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.78988388,0.623916544
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.245318092,0.060180966
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,6.096341416,1.2019645
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.293095485,0.085904963
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.33167344,0.110007271
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.97975319,1.040903553
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.501167868,0.251169232
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.180350074,1.393226298
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.585843908,0.171525269
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.673395131,0.106670741
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.530157556,0.281067035
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.868764403,0.754751588
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.411794637,0.169574823
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.660819086,0.115043693
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.539953678,0.291549975
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.65467697,0.428601935
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.868764403,0.754751588
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.163874866,0.026854972
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.488682013,0.261446084
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.286263652,0.081946878
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.540623014,0.211027215
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.335951544,0.11286344
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.306230941,0.481315508
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.391958382,0.153631373
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.379226858,0.385359294
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.74152378,0.066809956
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.897414468,1.215694854
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,4.582296884,0.339069661
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.891824183,0.795350373
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.891824183,0.795350373
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.263125166,1.595485186
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.699054863,0.090567975
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,6.173820282,1.377854056
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.30172,0.091034958
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,6.112992974,4.464739307
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,4.782835951,0.047160224
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.643729971,0.414388275
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.525739666,0.276402196
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.344399014,0.118610681
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.48049054,0.230871159
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.542277731,0.209509676
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.573820539,0.181628933
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,22.04878792,0.031377027,-1.083590259,-0.182563948,0.01633127,-1.874225158,0.004361333,-0.00326458,-17.88116379,-0.413653144,0.916334413,0.276197699,5.438874906,0.192611183
