fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,,
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.807265629,0.037146538
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.454346625,0.297737606
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.022299311,0.000497259
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.024829605,0.000616509
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.024829605,0.000616509
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.022299311,0.000497259
6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.694214171,0.093504973
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.807265629,0.037146538
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.454346625,0.297737606
8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.027978315,0.000782786
8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.444357459,2.086168471
