,school,,sex,,age,,address,,famsize,,Pstatus,,Medu,,Fedu,,Mteach,,Mhealth,,Mservices,,Mhome,,Fteach,,Fhealth,,Fservices,,Fhome,,closehome,,repu,,course,,guardF,,guardM,,traveltime,,studytime,,failures,,schoolsup,,famsup,,paid,,activities,,nursery,,higher,,internet,,romantic,,famrel,,freetime,,goout,,Dalc,,Walc,,health,,absences,,G1,,G2,,G3,
school,1.0,-,0.08304956101058425,LOW,0.08716967817434872,LOW,0.35451983055438435,LOW,0.022252103025473938,LOW,-0.028120198626935072,LOW,-0.2547869672737398,LOW,-0.209806340896517,LOW,-0.10372893690051185,LOW,-0.07062762059802159,LOW,-0.12205497590389798,LOW,0.19912438573026048,LOW,-0.09235592731535465,LOW,-0.05264131813093856,LOW,0.06469721466218636,LOW,0.1363845642518548,LOW,-0.13754818364119892,LOW,-0.1622817070680332,LOW,0.1222262306191123,LOW,0.06645160490663335,LOW,-0.052590351185037396,LOW,0.2529357544143124,LOW,-0.1378572009887662,LOW,0.11378817457251157,LOW,-0.12333952734746124,LOW,-0.06372004380403269,LOW,-0.007905324941394459,LOW,-0.08860401365376466,LOW,0.004659021237749761,LOW,-0.13611235999740562,LOW,-0.24048593282706343,LOW,0.07224139729653836,LOW,-0.031597347836247236,LOW,0.03466605685218309,LOW,0.0446316665168653,LOW,0.047169457590131615,LOW,0.014169224585391856,LOW,-0.05859893367218293,LOW,-0.16393292349526317,LOW,-0.2926255804242728,LOW,-0.26977568296417237,LOW,-0.2842941636006085,LOW
sex,0.08304956101058425,LOW,1.0,-,0.04366178153982192,LOW,0.02550263052578842,LOW,-0.09820486170443939,LOW,0.06469983316843715,LOW,-0.11912726112423744,LOW,-0.08391345025661974,LOW,-0.10464661552722886,LOW,-0.039824889764477296,LOW,-0.05587850293108583,LOW,0.13377860366707914,LOW,-0.044415716654112335,LOW,0.007232500613356003,LOW,-0.04761179117288915,LOW,0.053665865100303065,LOW,-0.05907936606358184,LOW,0.02728907444846022,LOW,0.049307043672298045,LOW,-0.03905472030227036,LOW,0.03070751000693995,LOW,-0.0408800937011377,LOW,0.2062137742766878,LOW,-0.07388801154828768,LOW,0.1112024332446829,LOW,0.1294666251883128,LOW,-0.07929985307663634,LOW,-0.12470709582996921,LOW,0.043602764072682515,LOW,0.058133867989885644,LOW,-0.06591089191817716,LOW,0.11014352280848914,LOW,-0.08347312305752215,LOW,-0.14630503002645628,LOW,-0.05817837486802877,LOW,-0.28269600226051966,LOW,-0.3207848101472375,LOW,-0.1395469382817815,LOW,-0.021335796890172055,LOW,0.10410856829981019,LOW,0.10400516844766595,LOW,0.12907748660442236,LOW
age,0.08716967817434872,LOW,0.04366178153982192,LOW,1.0,-,0.025847743395067662,LOW,-0.0024700907534728807,LOW,0.005630654396657537,LOW,-0.10783182168327644,LOW,-0.12105049703353324,LOW,-0.04669194362519317,LOW,-0.10023650715452172,LOW,-0.034880098317420845,LOW,0.08898002312394876,LOW,-0.05415366488944268,LOW,-0.10350372430697422,LOW,-0.02456988629649192,LOW,0.05527543558400084,LOW,-0.014715862512119286,LOW,-0.016565066063307172,LOW,0.030345494327717885,LOW,-0.13678620470926,LOW,-0.048726068263130765,LOW,0.03449001957112697,LOW,-0.008415114730317943,LOW,0.31996794777004706,LOW,-0.16784090205761876,LOW,-0.10189422421412074,LOW,-0.0054578074548310256,LOW,-0.0542787649981098,LOW,-0.0214411817463775,LOW,-0.2654970326800874,LOW,0.013114806118034474,LOW,0.17881015541356188,LOW,-0.020559455040333154,LOW,-0.004910259188822184,LOW,0.11280462078676796,LOW,0.1347682683864045,LOW,0.0863573451416576,LOW,-0.00875011713000121,LOW,0.14999819003988413,LOW,-0.17432223952756745,LOW,-0.10711907881604735,LOW,-0.10650539063845788,LOW
address,0.35451983055438435,LOW,0.02550263052578842,LOW,0.025847743395067662,LOW,1.0,-,-0.046112973792502156,LOW,-0.09463539388729447,LOW,-0.19031973265650143,LOW,-0.14149272803027402,LOW,-0.07314858348407113,LOW,-0.08413118592658078,LOW,-0.10113054365181327,LOW,0.1653073211939485,LOW,-0.028221071012869716,LOW,-0.07216707349371827,LOW,-0.014507948346246278,LOW,-0.023821798144718662,LOW,-0.16118257928533578,LOW,0.012881751919119706,LOW,0.07083437964156118,LOW,-0.0034913469817109484,LOW,-0.015464239281676504,LOW,0.3449015173963899,LOW,-0.06202279063668788,LOW,0.06382445787437449,LOW,-0.017955799807999533,LOW,-0.005577056148510343,LOW,0.030483029019193704,LOW,0.009277810459526352,LOW,-0.01807694095424448,LOW,-0.07670607679146764,LOW,-0.1757941386640897,LOW,0.03093888323601766,LOW,0.033896653679634146,LOW,0.03664681520726362,LOW,-0.015475080034489113,LOW,0.047304460374394584,LOW,0.012416243329317964,LOW,-0.0037874559793086137,LOW,-0.07365280233135045,LOW,-0.15712653987365402,LOW,-0.1545998998031449,LOW,-0.1676373485899199,LOW
famsize,0.022252103025473938,LOW,-0.09820486170443939,LOW,-0.0024700907534728807,LOW,-0.046112973792502156,LOW,1.0,-,0.23960842324685927,LOW,-0.01432484486326234,LOW,-0.03953761772862916,LOW,0.03976759167174664,LOW,0.010315749530007629,LOW,0.022941805937449,LOW,0.008830027655357257,LOW,-0.08333370826769115,LOW,0.02183242225207309,LOW,0.0034101729253912484,LOW,0.0216084288608906,LOW,0.023438097877701,LOW,0.046385257409809366,LOW,-0.029347843542707128,LOW,-0.010048901386169302,LOW,0.017646402383904226,LOW,0.012794242478473427,LOW,-0.010944766778164396,LOW,-0.06606810590764366,LOW,-0.05640500455904701,LOW,-0.03981885728124842,LOW,-0.050253457639191375,LOW,-0.014789614474011533,LOW,0.10068643252909909,LOW,0.004522593325806809,LOW,0.013357275351795829,LOW,-0.03293589272818874,LOW,0.004640788403623488,LOW,-0.02125691222405063,LOW,-0.004312404114217764,LOW,0.060481682557082465,LOW,0.08195784654233572,LOW,0.0024476214886151623,LOW,0.00464512780016644,LOW,0.047230066985195676,LOW,0.038890571028070246,LOW,0.04501636801725212,LOW
Pstatus,-0.028120198626935072,LOW,0.06469983316843715,LOW,0.005630654396657537,LOW,-0.09463539388729447,LOW,0.23960842324685927,LOW,1.0,-,0.05717406532135124,LOW,0.031855632024013134,LOW,-0.027985643451506684,LOW,-0.016419426514944636,LOW,0.03726404805934282,LOW,-0.04204498009326466,LOW,0.011516227883378168,LOW,0.00417956964514453,LOW,-0.09731712126214076,LOW,0.015675490515289235,LOW,0.04049156267900369,LOW,0.038141815208136254,LOW,-0.039014187376598675,LOW,-0.14200077022053814,LOW,0.07078616426033166,LOW,-0.04063340975545432,LOW,0.008747850080238291,LOW,0.009880592790451056,LOW,0.009455853246012582,LOW,-0.010202554297945766,LOW,-0.01592329493459268,LOW,-0.1015551883181204,LOW,0.03272432924755261,LOW,-0.02272647426281555,LOW,-0.05975402331960724,LOW,0.05382783211304176,LOW,-0.05130333521913621,LOW,-0.03758527056706988,LOW,-0.031085727537491108,LOW,-0.041512902423277355,LOW,-0.07097638778654841,LOW,-0.012638390257869926,LOW,0.11749177388929387,LOW,-0.015251348919783341,LOW,-0.018688693701552007,LOW,7.539250498194723E-4,LOW
Medu,-0.2547869672737398,LOW,-0.11912726112423744,LOW,-0.10783182168327644,LOW,-0.19031973265650143,LOW,-0.01432484486326234,LOW,0.05717406532135124,LOW,1.0,-,0.6474766091364951,HIGH,0.449846517552697,LOW,0.2612149044014493,LOW,0.13027163018308952,LOW,-0.3766364183646039,LOW,0.25813620283223315,LOW,0.15557625824863164,LOW,-0.012575923370528853,LOW,-0.09731257575607039,LOW,0.03657956449468837,LOW,0.1325016852678441,LOW,-0.11960199886235794,LOW,-0.040792437542567436,LOW,0.09156189535494615,LOW,-0.2650790028065503,LOW,0.0970058329048742,LOW,-0.17221028727762092,LOW,-0.02216849605576028,LOW,0.12049124091913588,LOW,0.11397284217695346,LOW,0.11935433839812738,LOW,0.12595132576702975,LOW,0.21389631872152343,LOW,0.26605229807955283,LOW,-0.030992128762996403,LOW,0.024420573121111316,LOW,-0.019686298242807636,LOW,0.00953649387524289,LOW,-0.007018319051808935,LOW,-0.019765785774759514,LOW,0.0046140559990314805,LOW,-0.008577494775545825,LOW,0.26047228956523827,LOW,0.26403529969541467,LOW,0.24015075657359092,LOW
Fedu,-0.209806340896517,LOW,-0.08391345025661974,LOW,-0.12105049703353324,LOW,-0.14149272803027402,LOW,-0.03953761772862916,LOW,0.031855632024013134,LOW,0.6474766091364951,HIGH,1.0,-,0.31212968804276703,LOW,0.14078926326487087,LOW,0.10436826655356347,LOW,-0.198239829644134,LOW,0.34887448581912694,LOW,0.22708086889707682,LOW,0.026574525059262513,LOW,-0.10757534286708502,LOW,0.01770980838735455,LOW,0.08507619352903449,LOW,-0.06889340680657619,LOW,0.08615790813782136,LOW,-0.0444497252678142,LOW,-0.2082879784897692,LOW,0.05039964766444153,LOW,-0.16591500535547563,LOW,0.023571578391245133,LOW,0.13519077531078347,LOW,0.09462806663252307,LOW,0.07969978465800048,LOW,0.07486264396343831,LOW,0.19173539497718717,LOW,0.18348267151922898,LOW,-0.06767481360804024,LOW,0.0202558848092536,LOW,0.006840631040532824,LOW,0.027689742855497496,LOW,6.0774899382333464E-5,LOW,0.038444700265242195,LOW,0.04490978841531255,LOW,0.029858663975561264,LOW,0.21750065064753274,LOW,0.2251389296521842,LOW,0.21179967911444708,LOW
Mteach,-0.10372893690051185,LOW,-0.10464661552722886,LOW,-0.04669194362519317,LOW,-0.07314858348407113,LOW,0.03976759167174664,LOW,-0.027985643451506684,LOW,0.449846517552697,LOW,0.31212968804276703,LOW,1.0,-,-0.0998301501518326,LOW,-0.18188174543106186,LOW,-0.1810354668880162,LOW,0.2573435581591214,LOW,0.0649708663384768,LOW,0.010063706498416279,LOW,-0.05303561946485796,LOW,0.017148103004037633,LOW,-0.022069268496864115,LOW,0.023549528320650416,LOW,-0.10372433469120622,LOW,0.12348799597364557,LOW,-0.09796125250304231,LOW,0.03546929315450352,LOW,-0.123945482047614,LOW,-0.056771603204068176,LOW,0.02867043906479911,LOW,-0.006743486386699854,LOW,0.09869561348162141,LOW,0.07645043674389558,LOW,0.10592305720494526,LOW,0.1480686722985512,LOW,-0.04592218953639293,LOW,-3.958008626429745E-5,LOW,0.06082074484642896,LOW,-0.05559411190061223,LOW,0.02566176495979139,LOW,0.018383840263173655,LOW,0.03188855665633126,LOW,-0.04177283224034774,LOW,0.14892480520606816,LOW,0.13641867858176301,LOW,0.13490968231734093,LOW
Mhealth,-0.07062762059802159,LOW,-0.039824889764477296,LOW,-0.10023650715452172,LOW,-0.08413118592658078,LOW,0.010315749530007629,LOW,-0.016419426514944636,LOW,0.2612149044014493,LOW,0.14078926326487087,LOW,-0.0998301501518326,LOW,1.0,-,-0.14551044012169712,LOW,-0.1448333938190444,LOW,-0.01704233560026952,LOW,0.23243121125245475,LOW,0.021180032053118837,LOW,-0.05040709496642687,LOW,-0.028279172731946082,LOW,0.10545463280887497,LOW,-0.08397693397143882,LOW,0.06497243978039009,LOW,-0.03410487423321193,LOW,-0.10460611374285587,LOW,-0.018978416956543613,LOW,-0.016390601429768562,LOW,-0.05823487347872261,LOW,0.04308631788656472,LOW,0.002862900060233173,LOW,0.008277105250757396,LOW,0.03650140914008169,LOW,0.09747515428630238,LOW,0.0859457865338433,LOW,0.016156393802916995,LOW,-0.02880263554835936,LOW,-0.02047966647552706,LOW,0.04071637690011899,LOW,-0.0771597568376218,LOW,0.02541193079519905,LOW,0.02958582227903802,LOW,-0.09478640269753968,LOW,0.10268892127104604,LOW,0.1044200724346865,LOW,0.10124408133385705,LOW
